genome_id,genome_name,freq,Domain,Genome.Name...Sample.Name,Phylum,Class,Order,Family,Genus,Species,Strain,Genome.Size
2524023165,Corynebacterium massiliense DSM 45435,3,Bacteria,Corynebacterium massiliense DSM 45435,Actinobacteria,Actinobacteria,Actinomycetales,Corynebacteriaceae,Corynebacterium,Corynebacterium massiliense,DSM 45435,2183019
2524023198,"Corynebacterium halotolerans YIM 70093, DSM 44683",2,Bacteria,"Corynebacterium halotolerans YIM 70093, DSM 44683",Actinobacteria,Actinobacteria,Corynebacteriales,Corynebacteriaceae,Corynebacterium,Corynebacterium halotolerans,"YIM 70093, DSM 44683",3222008
2524023215,"Streptomyces venezuelae Shinobu 719, ATCC 10712",1,Bacteria,"Streptomyces venezuelae Shinobu 719, ATCC 10712",Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces,Streptomyces venezuelae,"Shinobu 719, ATCC 10712",8226158
2524023227,Arthrobacter castelli DSM 16402,1,Bacteria,Arthrobacter castelli DSM 16402,Actinobacteria,Actinobacteria,Actinomycetales,Micrococcaceae,Arthrobacter,Arthrobacter castelli,DSM 16402,4585800
2524023245,Streptomyces sp. CNH287,1,Bacteria,Streptomyces sp. CNH287,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces,Streptomyces sp.,CNH287,6788521
2524023247,Streptomyces sp. CNQ865,2,Bacteria,Streptomyces sp. CNQ865,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces,Streptomyces sp.,CNQ865,8612798
2524614544,Streptomyces sp. KhCrAH-337,2,Bacteria,Streptomyces sp. KhCrAH-337,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces,Streptomyces sp.,KhCrAH-337,8219717
2524614547,Streptomyces sp. KhCrAH-40,2,Bacteria,Streptomyces sp. KhCrAH-40,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces,Streptomyces sp.,KhCrAH-40,8266578
2524614552,Streptomyces sp. 142MFCol3.1,2,Bacteria,Streptomyces sp. 142MFCol3.1,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces,Streptomyces sp. 142MFCol3.1,142MFCol3.1,9726042
2524614559,Streptomyces sp. CNT318,1,Bacteria,Streptomyces sp. CNT318,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces,Streptomyces sp.,CNT318,7284201
2524614560,Streptomyces sp. CNT360,1,Bacteria,Streptomyces sp. CNT360,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces,Streptomyces sp.,CNT360,7720660
2524614564,Streptomyces sp. TAA040,2,Bacteria,Streptomyces sp. TAA040,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces,Streptomyces sp.,TAA040,5311812
2524614568,Kitasatospora sp. SolWspMP-SS2h,3,Bacteria,Kitasatospora sp. SolWspMP-SS2h,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Kitasatospora,Kitasatospora sp. SolWspMP-SS2h,SolWspMP-SS2h,7576202
2524614576,Streptomyces sp. KhCrAH-43,2,Bacteria,Streptomyces sp. KhCrAH-43,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces,Streptomyces sp. 45,KhCrAH-43,8204965
2524614577,Streptomyces sp. PsTaAH-130,2,Bacteria,Streptomyces sp. PsTaAH-130,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces,Streptomyces sp.,PsTaAH-130,8026993
2524614578,Streptomyces sp. Amel2xB2,1,Bacteria,Streptomyces sp. Amel2xB2,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces,Streptomyces sp. Amel2xB2,Amel2xB2,7011625
2524614580,Streptomyces sp. PsTaAH-137,1,Bacteria,Streptomyces sp. PsTaAH-137,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces,Streptomyces sp. 48,PsTaAH-137,8956806
2524614581,Streptomyces sp. DpondAA-B6,1,Bacteria,Streptomyces sp. DpondAA-B6,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces,Streptomyces sp. DpondAA-B6,DpondAA-B6,7295516
2524614582,Gordonia shandongensis DSM 45094,2,Bacteria,Gordonia shandongensis DSM 45094,Actinobacteria,Actinobacteria,Actinomycetales,Nocardiaceae,Gordonia,Gordonia shandongensis,DSM 45094,3330647
2524614613,Corynebacterium freiburgense DSM 45254,2,Bacteria,Corynebacterium freiburgense DSM 45254,Actinobacteria,Actinobacteria,Actinomycetales,Corynebacteriaceae,Corynebacterium,Corynebacterium freiburgense,DSM 45254,2915779
2524614651,Nocardioides insulae DSM 17944,1,Bacteria,Nocardioides insulae DSM 17944,Actinobacteria,Actinobacteria,Actinomycetales,Nocardioidaceae,Nocardioides,Nocardioides insulae,DSM 17944,4060447
2524614730,Streptomyces sp. Amel2xC10,2,Bacteria,Streptomyces sp. Amel2xC10,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces,Streptomyces sp. Amel2xC10,Amel2xC10,7976204
2524614736,Rhodococcus rhodochrous ATCC 17895 (GeneBank data),5,Bacteria,Rhodococcus rhodochrous ATCC 17895 (GeneBank data),Actinobacteria,Actinobacteria,Actinomycetales,Nocardiaceae,Rhodococcus,Rhodococcus rhodochrous,ATCC 17895,6869887
2524614765,Gordonia amicalis CCMA-559 (Biosurfactant),2,Bacteria,Gordonia amicalis CCMA-559 (Biosurfactant),Actinobacteria,Actinobacteria,Actinomycetales,Gordoniaceae,Gordonia,Gordonia amicalis,CCMA-559,5187419
2524614768,Yaniella halotolerans DSM 15476,1,Bacteria,Yaniella halotolerans DSM 15476,Actinobacteria,Actinobacteria,Actinomycetales,Micrococcaceae,Yaniella,Yaniella halotolerans,DSM 15476,2775456
2524614803,Propionibacterium acidifaciens DSM 21887,1,Bacteria,Propionibacterium acidifaciens DSM 21887,Actinobacteria,Actinobacteria,Actinomycetales,Propionibacteriaceae,Propionibacterium,Propionibacterium acidifaciens,DSM 21887,3043901
2524614850,Streptomyces sp. TAA486,1,Bacteria,Streptomyces sp. TAA486,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces,Streptomyces sp.,TAA486,7069448
2524614860,Actinomyces slackii ATCC 49928,1,Bacteria,Actinomyces slackii ATCC 49928,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces,Actinomyces slackii,Sh13/4563,3172786
2526164525,"Gordonia hirsuta K718a, DSM 44140",2,Bacteria,"Gordonia hirsuta K718a, DSM 44140",Actinobacteria,Actinobacteria,Actinomycetales,Nocardiaceae,Gordonia,Gordonia hirsuta,DSM 44140,3502422
2526164526,Streptomyces sp. LaPpAH-201,1,Bacteria,Streptomyces sp. LaPpAH-201,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces,Streptomyces sp. LaPpAH-201,LaPpAH-201,7010448
2526164567,Kocuria sp. ZOR0020,1,Bacteria,Kocuria sp. ZOR0020,Actinobacteria,Actinobacteria,Actinomycetales,Micrococcaceae,Kocuria,Kocuria sp. ZOR0020,ZOR0020,3018275
2526164579,Mycobacterium massiliense 1S-154-0310,1,Bacteria,Mycobacterium massiliense 1S-154-0310,Actinobacteria,Actinobacteria,Actinomycetales,Mycobacteriaceae,Mycobacterium,Mycobacterium massiliense,1S-154-0310,4895947
2526164580,Mycobacterium massiliense 1S-152-0914,1,Bacteria,Mycobacterium massiliense 1S-152-0914,Actinobacteria,Actinobacteria,Actinomycetales,Mycobacteriaceae,Mycobacterium,Mycobacterium massiliense,1S-152-0914,4897666
2526164585,Mycobacterium abscessus 4S-0726-RA,1,Bacteria,Mycobacterium abscessus 4S-0726-RA,Actinobacteria,Actinobacteria,Actinomycetales,Mycobacteriaceae,Mycobacterium,Mycobacterium abscessus,4S-0726-RA,4842208
2526164586,Mycobacterium abscessus 4S-0303,1,Bacteria,Mycobacterium abscessus 4S-0303,Actinobacteria,Actinobacteria,Actinomycetales,Mycobacteriaceae,Mycobacterium,Mycobacterium abscessus,4S-0303,4864284
2526164587,Mycobacterium abscessus 4S-0206,1,Bacteria,Mycobacterium abscessus 4S-0206,Actinobacteria,Actinobacteria,Actinomycetales,Mycobacteriaceae,Mycobacterium,Mycobacterium abscessus,4S-0206,4855358
2526164588,Mycobacterium abscessus 4S-0116-S,1,Bacteria,Mycobacterium abscessus 4S-0116-S,Actinobacteria,Actinobacteria,Actinomycetales,Mycobacteriaceae,Mycobacterium,Mycobacterium abscessus,4S-0116-S,4841923
2526164589,Mycobacterium abscessus 5S-0422,1,Bacteria,Mycobacterium abscessus 5S-0422,Actinobacteria,Actinobacteria,Actinomycetales,Mycobacteriaceae,Mycobacterium,Mycobacterium abscessus,5S-0422,5323965
2526164590,Mycobacterium abscessus 5S-0421,1,Bacteria,Mycobacterium abscessus 5S-0421,Actinobacteria,Actinobacteria,Actinomycetales,Mycobacteriaceae,Mycobacterium,Mycobacterium abscessus,5S-0421,5242408
2526164591,Mycobacterium abscessus 5S-0304,1,Bacteria,Mycobacterium abscessus 5S-0304,Actinobacteria,Actinobacteria,Actinomycetales,Mycobacteriaceae,Mycobacterium,Mycobacterium abscessus,5S-0304,5253081
2526164592,Mycobacterium abscessus 4S-0726-RB,1,Bacteria,Mycobacterium abscessus 4S-0726-RB,Actinobacteria,Actinobacteria,Actinomycetales,Mycobacteriaceae,Mycobacterium,Mycobacterium abscessus,4S-0726-RB,4862293
2526164593,Mycobacterium abscessus 5S-0708,1,Bacteria,Mycobacterium abscessus 5S-0708,Actinobacteria,Actinobacteria,Actinomycetales,Mycobacteriaceae,Mycobacterium,Mycobacterium abscessus,5S-0708,5253252
2526164611,Mycobacterium abscessus bolletii Timone LB,1,Bacteria,Mycobacterium abscessus bolletii Timone LB,Actinobacteria,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycobacterium,Mycobacterium abscessus,Timone LB,4969787
2526164622,Mycobacterium abscessus 3A-0119-R,1,Bacteria,Mycobacterium abscessus 3A-0119-R,Actinobacteria,Actinobacteria,Actinomycetales,Mycobacteriaceae,Mycobacterium,Mycobacterium abscessus,3A-0119-R,5281259
2526164623,Mycobacterium abscessus 3A-0122-S,1,Bacteria,Mycobacterium abscessus 3A-0122-S,Actinobacteria,Actinobacteria,Actinomycetales,Mycobacteriaceae,Mycobacterium,Mycobacterium abscessus,3A-0122-S,5233665
2526164624,Mycobacterium abscessus 3A-0731,1,Bacteria,Mycobacterium abscessus 3A-0731,Actinobacteria,Actinobacteria,Actinomycetales,Mycobacteriaceae,Mycobacterium,Mycobacterium abscessus,3A-0731,5386957
2526164625,Mycobacterium abscessus 3A-0930-R,1,Bacteria,Mycobacterium abscessus 3A-0930-R,Actinobacteria,Actinobacteria,Actinomycetales,Mycobacteriaceae,Mycobacterium,Mycobacterium abscessus,3A-0930-R,5273535
2526164626,Mycobacterium abscessus 3A-0930-S,1,Bacteria,Mycobacterium abscessus 3A-0930-S,Actinobacteria,Actinobacteria,Actinomycetales,Mycobacteriaceae,Mycobacterium,Mycobacterium abscessus,3A-0930-S,5249987
2526164627,Mycobacterium abscessus 4S-0116-R,1,Bacteria,Mycobacterium abscessus 4S-0116-R,Actinobacteria,Actinobacteria,Actinomycetales,Mycobacteriaceae,Mycobacterium,Mycobacterium abscessus,4S-0116-R,4840738
2526164654,Mycobacterium massiliense 2B-0912-S,1,Bacteria,Mycobacterium massiliense 2B-0912-S,Actinobacteria,Actinobacteria,Actinomycetales,Mycobacteriaceae,Mycobacterium,Mycobacterium massiliense,2B-0912-S,4809311
2526164655,Mycobacterium massiliense 2B-0912-R,1,Bacteria,Mycobacterium massiliense 2B-0912-R,Actinobacteria,Actinobacteria,Actinomycetales,Mycobacteriaceae,Mycobacterium,Mycobacterium massiliense,2B-0912-R,4809994
2526164656,Mycobacterium massiliense 2B-0107,1,Bacteria,Mycobacterium massiliense 2B-0107,Actinobacteria,Actinobacteria,Actinomycetales,Mycobacteriaceae,Mycobacterium,Mycobacterium massiliense,2B-0107,4811369
2526164657,Mycobacterium massiliense 2B-0626,1,Bacteria,Mycobacterium massiliense 2B-0626,Actinobacteria,Actinobacteria,Actinomycetales,Mycobacteriaceae,Mycobacterium,Mycobacterium massiliense,2B-0626,4810868
2526164658,Mycobacterium massiliense 2B-0307,1,Bacteria,Mycobacterium massiliense 2B-0307,Actinobacteria,Actinobacteria,Actinomycetales,Mycobacteriaceae,Mycobacterium,Mycobacterium massiliense,2B-0307,4809972
2526164659,Mycobacterium massiliense 1S-151-0930,1,Bacteria,Mycobacterium massiliense 1S-151-0930,Actinobacteria,Actinobacteria,Actinomycetales,Mycobacteriaceae,Mycobacterium,Mycobacterium massiliense,1S-151-0930,4895763
2526164660,Mycobacterium massiliense 1S-153-0915,1,Bacteria,Mycobacterium massiliense 1S-153-0915,Actinobacteria,Actinobacteria,Actinomycetales,Mycobacteriaceae,Mycobacterium,Mycobacterium massiliense,1S-153-0915,4894488
2526164679,Mycobacterium abscessus 6G-1108,1,Bacteria,Mycobacterium abscessus 6G-1108,Actinobacteria,Actinobacteria,Actinomycetales,Mycobacteriaceae,Mycobacterium,Mycobacterium abscessus,6G-1108,5337035
2526164680,Mycobacterium abscessus 5S-1215,1,Bacteria,Mycobacterium abscessus 5S-1215,Actinobacteria,Actinobacteria,Actinomycetales,Mycobacteriaceae,Mycobacterium,Mycobacterium abscessus,5S-1215,5206300
2526164681,Mycobacterium abscessus 6G-0125-R,1,Bacteria,Mycobacterium abscessus 6G-0125-R,Actinobacteria,Actinobacteria,Actinomycetales,Mycobacteriaceae,Mycobacterium,Mycobacterium abscessus,6G-0125-R,5139423
2526164682,Mycobacterium abscessus 5S-0921,1,Bacteria,Mycobacterium abscessus 5S-0921,Actinobacteria,Actinobacteria,Actinomycetales,Mycobacteriaceae,Mycobacterium,Mycobacterium abscessus,5S-0921,5254648
2526164683,Mycobacterium abscessus 5S-1212,1,Bacteria,Mycobacterium abscessus 5S-1212,Actinobacteria,Actinobacteria,Actinomycetales,Mycobacteriaceae,Mycobacterium,Mycobacterium abscessus,5S-1212,5239840
2526164684,Mycobacterium abscessus 6G-0728-R,1,Bacteria,Mycobacterium abscessus 6G-0728-R,Actinobacteria,Actinobacteria,Actinomycetales,Mycobacteriaceae,Mycobacterium,Mycobacterium abscessus,6G-0728-R,5341825
2526164685,Mycobacterium abscessus 6G-0728-S,1,Bacteria,Mycobacterium abscessus 6G-0728-S,Actinobacteria,Actinobacteria,Actinomycetales,Mycobacteriaceae,Mycobacterium,Mycobacterium abscessus,6G-0728-S,5315024
2526164686,Mycobacterium abscessus 6G-0125-S,1,Bacteria,Mycobacterium abscessus 6G-0125-S,Actinobacteria,Actinobacteria,Actinomycetales,Mycobacteriaceae,Mycobacterium,Mycobacterium abscessus,6G-0125-S,5328817
2526164687,Mycobacterium abscessus 6G-0212,1,Bacteria,Mycobacterium abscessus 6G-0212,Actinobacteria,Actinobacteria,Actinomycetales,Mycobacteriaceae,Mycobacterium,Mycobacterium abscessus,6G-0212,5144692
2526164783,Streptomyces sp. CNS606,2,Bacteria,Streptomyces sp. CNS606,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces,Streptomyces sp.,CNS606,5932917
2527291702,Rhodococcus rhodochrous J3,4,Bacteria,Rhodococcus rhodochrous J3,Actinobacteria,Actinobacteria,Actinomycetales,Nocardiaceae,Rhodococcus,Rhodococcus rhodochrous,J3,6106854
2528311045,Streptomyces sp. CNQ329,2,Bacteria,Streptomyces sp. CNQ329,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces,Streptomyces sp.,CNQ329,7185226
2528311129,Nocardia sp. CNY236,3,Bacteria,Nocardia sp. CNY236,Actinobacteria,Actinobacteria,Actinomycetales,Nocardiaceae,Nocardia,Nocardia sp. CNY236,CNY236,5304668
2529292502,Rhodococcus sp. JG-3,3,Bacteria,Rhodococcus sp. JG-3,Actinobacteria,Actinobacteria,Corynebacteriales,Nocardiaceae,Rhodococcus,Rhodococcus sp. JG-3,JG-3,5286918
2529292557,Corynebacterium glucuronolyticum DSM 44120,2,Bacteria,Corynebacterium glucuronolyticum DSM 44120,Actinobacteria,Actinobacteria,Actinomycetales,Corynebacteriaceae,Corynebacterium,Corynebacterium glucuronolyticum,DSM 44120,2821142
2529292687,Corynebacterium urealyticum DSM 7111,3,Bacteria,Corynebacterium urealyticum DSM 7111,Actinobacteria,Actinobacteria,Actinomycetales,Corynebacteriaceae,Corynebacterium,Corynebacterium urealyticum,DSM 7111,2316065
2529292926,Streptomyces tsukubaensis NRRL 18488,1,Bacteria,Streptomyces tsukubaensis NRRL 18488,Actinobacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces,Streptomyces tsukubaensis,NRRL 18488,7672104
2529293190,Mycobacterium abscessus bolletii BD,1,Bacteria,Mycobacterium abscessus bolletii BD,Actinobacteria,Actinobacteria,Actinomycetales,Mycobacteriaceae,Mycobacterium,Mycobacterium abscessus,BD,5048007
2529293282,Rhodococcus ruber BKS 20-38,4,Bacteria,Rhodococcus ruber BKS 20-38,Actinobacteria,Actinobacteria,Actinomycetales,Nocardiaceae,Rhodococcus,Rhodococcus ruber,BKS 20-38,6126900
2531839069,Mycobacterium massiliense 2B-1231,1,Bacteria,Mycobacterium massiliense 2B-1231,Actinobacteria,Actinobacteria,Actinomycetales,Mycobacteriaceae,Mycobacterium,Mycobacterium massiliense,2B-1231,4811264
2531839070,Mycobacterium abscessus bolletii Timone LB,1,Bacteria,Mycobacterium abscessus bolletii Timone LB,Actinobacteria,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycobacterium,Mycobacterium abscessus,Timone LB,5195205
2531839181,Streptomyces zinciresistens K42,2,Bacteria,Streptomyces zinciresistens K42,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces,Streptomyces zinciresistens,K42,8221694
2531839202,Mycobacterium abscessus 3A-0122-R,1,Bacteria,Mycobacterium abscessus 3A-0122-R,Actinobacteria,Actinobacteria,Actinomycetales,Mycobacteriaceae,Mycobacterium,Mycobacterium abscessus,3A-0122-R,5231383
2531839203,Mycobacterium abscessus 3A-0810-R,1,Bacteria,Mycobacterium abscessus 3A-0810-R,Actinobacteria,Actinobacteria,Actinomycetales,Mycobacteriaceae,Mycobacterium,Mycobacterium abscessus,3A-0810-R,5287644
2531839247,Mycobacterium sp. H4Y,1,Bacteria,Mycobacterium sp. H4Y,Actinobacteria,Actinobacteria,Actinomycetales,Mycobacteriaceae,Mycobacterium,Mycobacterium sp. H4Y,H4Y,5443025
2531839264,Rhodococcus sp. JVH1,6,Bacteria,Rhodococcus sp. JVH1,Actinobacteria,Actinobacteria,Actinomycetales,Nocardiaceae,Rhodococcus,Rhodococcus sp. JVH1,JVH1,9181077
2531839299,Corynebacterium glutamicum ATCC 14067,2,Bacteria,Corynebacterium glutamicum ATCC 14067,Actinobacteria,Actinobacteria,Actinomycetales,Corynebacteriaceae,Corynebacterium,Corynebacterium glutamicum,ATCC 14067,3226741
2531839309,Arthrobacter sp. SJCon,1,Bacteria,Arthrobacter sp. SJCon,Actinobacteria,Actinobacteria,Actinomycetales,Micrococcaceae,Arthrobacter,Arthrobacter sp. SJCon,SJCon,4389620
2531839488,Mycobacterium hassiacum DSM 44199,1,Bacteria,Mycobacterium hassiacum DSM 44199,Actinobacteria,Actinobacteria,Actinomycetales,Mycobacteriaceae,Mycobacterium,Mycobacterium hassiacum,DSM 44199,5000164
2531839509,Streptomyces viridochromogenes Tue57,2,Bacteria,Streptomyces viridochromogenes Tue57,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces,Streptomyces viridochromogenes,Tue57,9687428
2531839679,Corynebacterium diphtheriae bv. intermedius NCTC 5011,3,Bacteria,Corynebacterium diphtheriae bv. intermedius NCTC 5011,Actinobacteria,Actinobacteria,Actinomycetales,Corynebacteriaceae,Corynebacterium,Corynebacterium diphtheriae,NCTC 5011,2380361
2531839744,Rhodococcus sp. J21,4,Bacteria,Rhodococcus sp. J21,Actinobacteria,Actinobacteria,Actinomycetales,Nocardiaceae,Rhodococcus,Rhodococcus sp. J21,J21,6319940
2534681606,Corynebacterium glutamicum S9114,2,Bacteria,Corynebacterium glutamicum S9114,Actinobacteria,Actinobacteria,Actinomycetales,Corynebacteriaceae,Corynebacterium,Corynebacterium glutamicum,S9114,3262889
2534681669,Mycobacterium avium paratuberculosis S397,1,Bacteria,Mycobacterium avium paratuberculosis S397,Actinobacteria,Actinobacteria,Actinomycetales,Mycobacteriaceae,Mycobacterium,Mycobacterium avium,S397,4813711
2534681942,Mycobacterium vaccae RIVM,1,Bacteria,Mycobacterium vaccae RIVM,Actinobacteria,Actinobacteria,Actinomycetales,Mycobacteriaceae,Mycobacterium,Mycobacterium vaccae,RIVM,6223660
2534682015,Actinomyces neuii BVS029A5,1,Bacteria,Actinomyces neuii BVS029A5,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces,Actinomyces neuii,BVS029A5,2136781
2534682028,Streptomyces coelicoflavus ZG0656,2,Bacteria,Streptomyces coelicoflavus ZG0656,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces,Streptomyces coelicoflavus,ZG0656,8478314
2534682146,Rothia mucilaginosa M508,1,Bacteria,Rothia mucilaginosa M508,Actinobacteria,Actinobacteria,Actinomycetales,Micrococcaceae,Rothia,Rothia mucilaginosa,M508,2310168
2537561552,Mycobacterium abscessus 5S-0817,1,Bacteria,Mycobacterium abscessus 5S-0817,Actinobacteria,Actinobacteria,Actinomycetales,Mycobacteriaceae,Mycobacterium,Mycobacterium abscessus,5S-0817,5248885
2537561590,Rhodococcus wratislaviensis IFP 2016,6,Bacteria,Rhodococcus wratislaviensis IFP 2016,Actinobacteria,Actinobacteria,Actinomycetales,Nocardiaceae,Rhodococcus,Rhodococcus wratislaviensis,IFP 2016,9687645
2537561773,Atopobium sp. ICM58,1,Bacteria,Atopobium sp. ICM58,Actinobacteria,Actinobacteria,Coriobacteriales,Coriobacteriaceae,Atopobium,Atopobium sp. ICM58,ICM58,2390495
2537561777,Actinomyces sp. ICM47,1,Bacteria,Actinomyces sp. ICM47,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces,Actinomyces sp. ICM47,ICM47,2444105
2537561795,Streptomyces ipomoeae 91-03,2,Bacteria,Streptomyces ipomoeae 91-03,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces,Streptomyces ipomoeae,91-03,10403856
2537561797,Turicella otitidis ATCC 51513,1,Bacteria,Turicella otitidis ATCC 51513,Actinobacteria,Actinobacteria,Actinomycetales,Corynebacteriaceae,Turicella,Turicella otitidis,ATCC 51513,2090523
2537561926,Arthrobacter gangotriensis Lz1y,1,Bacteria,Arthrobacter gangotriensis Lz1y,Actinobacteria,Actinobacteria,Actinomycetales,Micrococcaceae,Arthrobacter,Arthrobacter gangotriensis,Lz1y,4319900
2537561950,Corynebacterium durum F0235,3,Bacteria,Corynebacterium durum F0235,Actinobacteria,Actinobacteria,Actinomycetales,Corynebacteriaceae,Corynebacterium,Corynebacterium durum,F0235,2809096
2537561976,Streptomyces gancidicus BKS 13-15,3,Bacteria,Streptomyces gancidicus BKS 13-15,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces,Streptomyces gancidicus,BKS 13-15,7300479
2537562090,Actinomyces sp. oral taxon 181 F0379,1,Bacteria,Actinomyces sp. oral taxon 181 F0379,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces,Actinomyces sp. oral taxon 181,F0379,1906384
2537562147,Amycolatopsis azurea DSM 43854,1,Bacteria,Amycolatopsis azurea DSM 43854,Actinobacteria,Actinobacteria,Actinomycetales,Pseudonocardiaceae,Amycolatopsis,Amycolatopsis azurea,DSM 43854,9223451
2537562196,Actinomyces sp. ICM39,1,Bacteria,Actinomyces sp. ICM39,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces,Actinomyces sp. ICM39,ICM39,2267656
2540341073,Mycobacterium canettii CIPT 140070010,1,Bacteria,Mycobacterium canettii CIPT 140070010,Actinobacteria,Actinobacteria,Actinomycetales,Mycobacteriaceae,Mycobacterium,Mycobacterium canettii,CIPT 140070010,4525948
2540341106,Modestobacter multiseptatus BC501,1,Bacteria,Modestobacter multiseptatus BC501,Actinobacteria,Actinobacteria,Actinomycetales,Geodermatophilaceae,Modestobacter,Modestobacter multiseptatus,BC501,5575517
2540341150,Corynebacterium pseudotuberculosis 31,2,Bacteria,Corynebacterium pseudotuberculosis 31,Actinobacteria,Actinobacteria,Actinomycetales,Corynebacteriaceae,Corynebacterium,Corynebacterium pseudotuberculosis,31,2297010
2540341184,Saccharothrix espanaensis DSM 44229,1,Bacteria,Saccharothrix espanaensis DSM 44229,Actinobacteria,Actinobacteria,Actinomycetales,Pseudonocardiaceae,Saccharothrix,Saccharothrix espanaensis,DSM 44229,9360653
2540341250,Mycobacterium sp. 141,1,Bacteria,Mycobacterium sp. 141,Actinobacteria,Actinobacteria,Actinomycetales,Mycobacteriaceae,Mycobacterium,Mycobacterium sp. 141,141,4544736
2541046977,Actinomyces europaeus ACS-120-V-Col10b,1,Bacteria,Actinomyces europaeus ACS-120-V-Col10b,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces,Actinomyces europaeus,ACS-120-V-Col10b,1905561
2541046979,Propionimicrobium lymphophilum ACS-093-V-SCH5,1,Bacteria,Propionimicrobium lymphophilum ACS-093-V-SCH5,Actinobacteria,Actinobacteria,Actinomycetales,Propionibacteriaceae,Propionimicrobium,Propionimicrobium lymphophilum,ACS-093-V-SCH5,2261463
2541046981,Streptomyces turgidiscabies Car8,1,Bacteria,Streptomyces turgidiscabies Car8,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces,Streptomyces turgidiscabies,Car8,10825282
2541046993,Corynebacterium sp. HFH0082,2,Bacteria,Corynebacterium sp. HFH0082,Actinobacteria,Actinobacteria,Actinomycetales,Corynebacteriaceae,Corynebacterium,Corynebacterium sp. HFH0082,HFH0082,2471628
2541046998,Streptomyces sp. HGB0020,2,Bacteria,Streptomyces sp. HGB0020,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces,Streptomyces sp. HGB0020,HGB0020,9339119
2541047000,Corynebacterium pyruviciproducens ATCC BAA-1742,2,Bacteria,Corynebacterium pyruviciproducens ATCC BAA-1742,Actinobacteria,Actinobacteria,Actinomycetales,Corynebacteriaceae,Corynebacterium,Corynebacterium pyruviciproducens,ATCC BAA-1742,2703797
2541047007,Mycobacterium sp. 05-1390,1,Bacteria,Mycobacterium sp. 05-1390,Actinobacteria,Actinobacteria,Actinomycetales,Mycobacteriaceae,Mycobacterium,Mycobacterium yongonense,05-1390,5521023
2541047017,Streptomyces sp. HPH0547,1,Bacteria,Streptomyces sp. HPH0547,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces,Streptomyces sp. HPH0547,HPH0547,7820341
2541047021,Propionibacterium sp. oral taxon 192 F0372,1,Bacteria,Propionibacterium sp. oral taxon 192 F0372,Actinobacteria,Actinobacteria,Actinomycetales,Propionibacteriaceae,Propionibacterium,Propionibacterium sp. oral taxon 192,F0372,2704051
