"taxon_oid"	"Domain"	"Status"	"Study.Name"	"Genome.Name...Sample.Name"	"Sequencing.Center"	"IMG.Genome.ID"	"Species"	"NCBI.Taxon.ID"	"NCBI.Project.ID"	"JGI.Project.ID...ITS.PID"	"Strain"	"Ecosystem"	"Ecosystem.Category"	"Ecotype"	"Genome.Size"	"Gene.Count"	"X"	"Phylum"	"Class"	"Order"	"Family"	"Genus"
2526164585	"Bacteria"	"Permanent Draft"	"Mycobacterium abscessus Genome sequencing, Institute for Genome Sciences"	"Mycobacterium abscessus 4S-0726-RA"	"University of Maryland School of Medicine"	2526164585	"Mycobacterium abscessus"	1001726	0	0	"4S-0726-RA"	"Host-associated"	"Animal"	NA	4842208	4894	NA	"Actinobacteria"	"Actinobacteria"	"Actinomycetales"	"Mycobacteriaceae"	"Mycobacterium"
2526164586	"Bacteria"	"Permanent Draft"	"Mycobacterium abscessus Genome sequencing, Institute for Genome Sciences"	"Mycobacterium abscessus 4S-0303"	"University of Maryland School of Medicine"	2526164586	"Mycobacterium abscessus"	1001722	0	0	"4S-0303"	"Host-associated"	"Animal"	NA	4864284	4898	NA	"Actinobacteria"	"Actinobacteria"	"Actinomycetales"	"Mycobacteriaceae"	"Mycobacterium"
2526164587	"Bacteria"	"Permanent Draft"	"Mycobacterium abscessus Genome sequencing, Institute for Genome Sciences"	"Mycobacterium abscessus 4S-0206"	"University of Maryland School of Medicine"	2526164587	"Mycobacterium abscessus"	1001723	0	0	"4S-0206"	"Host-associated"	"Animal"	NA	4855358	4889	NA	"Actinobacteria"	"Actinobacteria"	"Actinomycetales"	"Mycobacteriaceae"	"Mycobacterium"
2526164588	"Bacteria"	"Permanent Draft"	"Mycobacterium abscessus Genome sequencing, Institute for Genome Sciences"	"Mycobacterium abscessus 4S-0116-S"	"University of Maryland School of Medicine"	2526164588	"Mycobacterium abscessus"	1001724	0	0	"4S-0116-S"	"Host-associated"	"Animal"	NA	4841923	4894	NA	"Actinobacteria"	"Actinobacteria"	"Actinomycetales"	"Mycobacteriaceae"	"Mycobacterium"
2526164589	"Bacteria"	"Permanent Draft"	"Mycobacterium abscessus Genome sequencing, Institute for Genome Sciences"	"Mycobacterium abscessus 5S-0422"	"University of Maryland School of Medicine"	2526164589	"Mycobacterium abscessus"	1001731	0	0	"5S-0422"	"Host-associated"	"Animal"	NA	5323965	5519	NA	"Actinobacteria"	"Actinobacteria"	"Actinomycetales"	"Mycobacteriaceae"	"Mycobacterium"
2526164590	"Bacteria"	"Permanent Draft"	"Mycobacterium abscessus Genome sequencing, Institute for Genome Sciences"	"Mycobacterium abscessus 5S-0421"	"University of Maryland School of Medicine"	2526164590	"Mycobacterium abscessus"	1001729	0	0	"5S-0421"	""	""	NA	5242408	5438	NA	"Actinobacteria"	"Actinobacteria"	"Actinomycetales"	"Mycobacteriaceae"	"Mycobacterium"
2526164591	"Bacteria"	"Permanent Draft"	"Mycobacterium abscessus Genome sequencing, Institute for Genome Sciences"	"Mycobacterium abscessus 5S-0304"	"University of Maryland School of Medicine"	2526164591	"Mycobacterium abscessus"	1001728	0	0	"5S-0304"	"Host-associated"	"Animal"	NA	5253081	5440	NA	"Actinobacteria"	"Actinobacteria"	"Actinomycetales"	"Mycobacteriaceae"	"Mycobacterium"
2526164592	"Bacteria"	"Permanent Draft"	"Mycobacterium abscessus Genome sequencing, Institute for Genome Sciences"	"Mycobacterium abscessus 4S-0726-RB"	"University of Maryland School of Medicine"	2526164592	"Mycobacterium abscessus"	1001727	0	0	"4S-0726-RB"	"Host-associated"	"Animal"	NA	4862293	4902	NA	"Actinobacteria"	"Actinobacteria"	"Actinomycetales"	"Mycobacteriaceae"	"Mycobacterium"
2526164593	"Bacteria"	"Permanent Draft"	"Mycobacterium abscessus Genome sequencing, Institute for Genome Sciences"	"Mycobacterium abscessus 5S-0708"	"University of Maryland School of Medicine"	2526164593	"Mycobacterium abscessus"	1001730	0	0	"5S-0708"	"Host-associated"	"Animal"	NA	5253252	5440	NA	"Actinobacteria"	"Actinobacteria"	"Actinomycetales"	"Mycobacteriaceae"	"Mycobacterium"
2526164611	"Bacteria"	"Permanent Draft"	"Mycobacterium massiliense CCUG 48898 = JCM 15300"	"Mycobacterium abscessus bolletii Timone LB"	"Chungnam National University"	2526164611	"Mycobacterium abscessus"	1001714	0	0	"Timone LB"	""	""	NA	4969787	4878	NA	"Actinobacteria"	"Actinobacteria"	"Corynebacteriales"	"Mycobacteriaceae"	"Mycobacterium"
2526164622	"Bacteria"	"Permanent Draft"	"Mycobacterium abscessus Genome sequencing, Institute for Genome Sciences"	"Mycobacterium abscessus 3A-0119-R"	"University of Maryland School of Medicine"	2526164622	"Mycobacterium abscessus"	1001721	0	0	"3A-0119-R"	"Host-associated"	"Animal"	NA	5281259	5403	NA	"Actinobacteria"	"Actinobacteria"	"Actinomycetales"	"Mycobacteriaceae"	"Mycobacterium"
2526164623	"Bacteria"	"Permanent Draft"	"Mycobacterium abscessus Genome sequencing, Institute for Genome Sciences"	"Mycobacterium abscessus 3A-0122-S"	"University of Maryland School of Medicine"	2526164623	"Mycobacterium abscessus"	1001716	0	0	"3A-0122-S"	"Host-associated"	"Animal"	NA	5233665	5359	NA	"Actinobacteria"	"Actinobacteria"	"Actinomycetales"	"Mycobacteriaceae"	"Mycobacterium"
2526164624	"Bacteria"	"Permanent Draft"	"Mycobacterium abscessus Genome sequencing, Institute for Genome Sciences"	"Mycobacterium abscessus 3A-0731"	"University of Maryland School of Medicine"	2526164624	"Mycobacterium abscessus"	1001718	0	0	"3A-0731"	"Host-associated"	"Animal"	NA	5386957	5479	NA	"Actinobacteria"	"Actinobacteria"	"Actinomycetales"	"Mycobacteriaceae"	"Mycobacterium"
2526164625	"Bacteria"	"Permanent Draft"	"Mycobacterium abscessus Genome sequencing, Institute for Genome Sciences"	"Mycobacterium abscessus 3A-0930-R"	"University of Maryland School of Medicine"	2526164625	"Mycobacterium abscessus"	1001720	0	0	"3A-0930-R"	"Host-associated"	"Animal"	NA	5273535	5458	NA	"Actinobacteria"	"Actinobacteria"	"Actinomycetales"	"Mycobacteriaceae"	"Mycobacterium"
2526164626	"Bacteria"	"Permanent Draft"	"Mycobacterium abscessus Genome sequencing, Institute for Genome Sciences"	"Mycobacterium abscessus 3A-0930-S"	"University of Maryland School of Medicine"	2526164626	"Mycobacterium abscessus"	1001719	0	0	"3A-0930-S"	"Host-associated"	"Animal"	NA	5249987	5434	NA	"Actinobacteria"	"Actinobacteria"	"Actinomycetales"	"Mycobacteriaceae"	"Mycobacterium"
2526164627	"Bacteria"	"Permanent Draft"	"Mycobacterium abscessus Genome sequencing, Institute for Genome Sciences"	"Mycobacterium abscessus 4S-0116-R"	"University of Maryland School of Medicine"	2526164627	"Mycobacterium abscessus"	1001725	0	0	"4S-0116-R"	"Host-associated"	"Animal"	NA	4840738	4833	NA	"Actinobacteria"	"Actinobacteria"	"Actinomycetales"	"Mycobacteriaceae"	"Mycobacterium"
2526164654	"Bacteria"	"Permanent Draft"	"Mycobacterium massiliense strains from widely separated outbreaks - Institute for Genome Sciences"	"Mycobacterium massiliense 2B-0912-S"	"University of Maryland School of Medicine"	2526164654	"Mycobacterium massiliense"	1001712	0	0	"2B-0912-S"	"Host-associated"	"Animal"	NA	4809311	4871	NA	"Actinobacteria"	"Actinobacteria"	"Actinomycetales"	"Mycobacteriaceae"	"Mycobacterium"
2526164655	"Bacteria"	"Permanent Draft"	"Mycobacterium massiliense strains from widely separated outbreaks - Institute for Genome Sciences"	"Mycobacterium massiliense 2B-0912-R"	"University of Maryland School of Medicine"	2526164655	"Mycobacterium massiliense"	1001711	0	0	"2B-0912-R"	"Host-associated"	"Animal"	NA	4809994	4868	NA	"Actinobacteria"	"Actinobacteria"	"Actinomycetales"	"Mycobacteriaceae"	"Mycobacterium"
2526164656	"Bacteria"	"Permanent Draft"	"Mycobacterium massiliense strains from widely separated outbreaks - Institute for Genome Sciences"	"Mycobacterium massiliense 2B-0107"	"University of Maryland School of Medicine"	2526164656	"Mycobacterium massiliense"	1001710	0	0	"2B-0107"	"Host-associated"	"Animal"	NA	4811369	4862	NA	"Actinobacteria"	"Actinobacteria"	"Actinomycetales"	"Mycobacteriaceae"	"Mycobacterium"
2526164657	"Bacteria"	"Permanent Draft"	"Mycobacterium massiliense strains from widely separated outbreaks - Institute for Genome Sciences"	"Mycobacterium massiliense 2B-0626"	"University of Maryland School of Medicine"	2526164657	"Mycobacterium massiliense"	1001708	0	0	"2B-0626"	"Host-associated"	"Animal"	NA	4810868	4862	NA	"Actinobacteria"	"Actinobacteria"	"Actinomycetales"	"Mycobacteriaceae"	"Mycobacterium"
2526164658	"Bacteria"	"Permanent Draft"	"Mycobacterium massiliense strains from widely separated outbreaks - Institute for Genome Sciences"	"Mycobacterium massiliense 2B-0307"	"University of Maryland School of Medicine"	2526164658	"Mycobacterium massiliense"	1001713	0	0	"2B-0307"	"Host-associated"	"Animal"	NA	4809972	4810	NA	"Actinobacteria"	"Actinobacteria"	"Actinomycetales"	"Mycobacteriaceae"	"Mycobacterium"
2526164659	"Bacteria"	"Permanent Draft"	"Mycobacterium massiliense strains from widely separated outbreaks - Institute for Genome Sciences"	"Mycobacterium massiliense 1S-151-0930"	"University of Maryland School of Medicine"	2526164659	"Mycobacterium massiliense"	1001704	0	0	"1S-151-0930"	"Host-associated"	"Animal"	NA	4895763	4983	NA	"Actinobacteria"	"Actinobacteria"	"Actinomycetales"	"Mycobacteriaceae"	"Mycobacterium"
2526164660	"Bacteria"	"Permanent Draft"	"Mycobacterium massiliense strains from widely separated outbreaks - Institute for Genome Sciences"	"Mycobacterium massiliense 1S-153-0915"	"University of Maryland School of Medicine"	2526164660	"Mycobacterium massiliense"	1001706	0	0	"1S-153-0915"	"Host-associated"	"Animal"	NA	4894488	4993	NA	"Actinobacteria"	"Actinobacteria"	"Actinomycetales"	"Mycobacteriaceae"	"Mycobacterium"
2526164679	"Bacteria"	"Permanent Draft"	"Mycobacterium abscessus Genome sequencing, Institute for Genome Sciences"	"Mycobacterium abscessus 6G-1108"	"University of Maryland School of Medicine"	2526164679	"Mycobacterium abscessus"	1001738	0	0	"6G-1108"	"Host-associated"	"Animal"	NA	5337035	5511	NA	"Actinobacteria"	"Actinobacteria"	"Actinomycetales"	"Mycobacteriaceae"	"Mycobacterium"
2526164680	"Bacteria"	"Permanent Draft"	"Mycobacterium abscessus Genome sequencing, Institute for Genome Sciences"	"Mycobacterium abscessus 5S-1215"	"University of Maryland School of Medicine"	2526164680	"Mycobacterium abscessus"	1001734	0	0	"5S-1215"	"Host-associated"	"Animal"	NA	5206300	5402	NA	"Actinobacteria"	"Actinobacteria"	"Actinomycetales"	"Mycobacteriaceae"	"Mycobacterium"
2526164681	"Bacteria"	"Permanent Draft"	"Mycobacterium abscessus Genome sequencing, Institute for Genome Sciences"	"Mycobacterium abscessus 6G-0125-R"	"University of Maryland School of Medicine"	2526164681	"Mycobacterium abscessus"	1001740	0	0	"6G-0125-R"	"Host-associated"	"Animal"	NA	5139423	5224	NA	"Actinobacteria"	"Actinobacteria"	"Actinomycetales"	"Mycobacteriaceae"	"Mycobacterium"
2526164682	"Bacteria"	"Permanent Draft"	"Mycobacterium abscessus Genome sequencing, Institute for Genome Sciences"	"Mycobacterium abscessus 5S-0921"	"University of Maryland School of Medicine"	2526164682	"Mycobacterium abscessus"	1001732	0	0	"5S-0921"	"Host-associated"	"Animal"	NA	5254648	5458	NA	"Actinobacteria"	"Actinobacteria"	"Actinomycetales"	"Mycobacteriaceae"	"Mycobacterium"
2526164683	"Bacteria"	"Permanent Draft"	"Mycobacterium abscessus Genome sequencing, Institute for Genome Sciences"	"Mycobacterium abscessus 5S-1212"	"University of Maryland School of Medicine"	2526164683	"Mycobacterium abscessus"	1001733	0	0	"5S-1212"	"Host-associated"	"Animal"	NA	5239840	5437	NA	"Actinobacteria"	"Actinobacteria"	"Actinomycetales"	"Mycobacteriaceae"	"Mycobacterium"
2526164684	"Bacteria"	"Permanent Draft"	"Mycobacterium abscessus Genome sequencing, Institute for Genome Sciences"	"Mycobacterium abscessus 6G-0728-R"	"University of Maryland School of Medicine"	2526164684	"Mycobacterium abscessus"	1001737	0	0	"6G-0728-R"	"Host-associated"	"Animal"	NA	5341825	5505	NA	"Actinobacteria"	"Actinobacteria"	"Actinomycetales"	"Mycobacteriaceae"	"Mycobacterium"
2526164685	"Bacteria"	"Permanent Draft"	"Mycobacterium abscessus Genome sequencing, Institute for Genome Sciences"	"Mycobacterium abscessus 6G-0728-S"	"University of Maryland School of Medicine"	2526164685	"Mycobacterium abscessus"	1001736	0	0	"6G-0728-S"	"Host-associated"	"Animal"	NA	5315024	5504	NA	"Actinobacteria"	"Actinobacteria"	"Actinomycetales"	"Mycobacteriaceae"	"Mycobacterium"
2526164686	"Bacteria"	"Permanent Draft"	"Mycobacterium abscessus Genome sequencing, Institute for Genome Sciences"	"Mycobacterium abscessus 6G-0125-S"	"University of Maryland School of Medicine"	2526164686	"Mycobacterium abscessus"	1001741	0	0	"6G-0125-S"	"Host-associated"	"Animal"	NA	5328817	5512	NA	"Actinobacteria"	"Actinobacteria"	"Actinomycetales"	"Mycobacteriaceae"	"Mycobacterium"
2526164687	"Bacteria"	"Permanent Draft"	"Mycobacterium abscessus Genome sequencing, Institute for Genome Sciences"	"Mycobacterium abscessus 6G-0212"	"University of Maryland School of Medicine"	2526164687	"Mycobacterium abscessus"	1001739	0	0	"6G-0212"	"Host-associated"	"Animal"	NA	5144692	5237	NA	"Actinobacteria"	"Actinobacteria"	"Actinomycetales"	"Mycobacteriaceae"	"Mycobacterium"
2526164783	"Bacteria"	"Permanent Draft"	"Genome sequencing of the marine actinomycete Salinispora pacifica"	"Streptomyces sp. CNS606"	"DOE Joint Genome Institute (JGI)"	2526164783	"Streptomyces sp."	1305837	0	1016037	"CNS606"	""	""	NA	5932917	5240	NA	"Actinobacteria"	"Actinobacteria"	"Actinomycetales"	"Streptomycetaceae"	"Streptomyces"
2527291702	"Bacteria"	"Draft"	"Genome sequencing of lignin-degrading bacterial isolates"	"Rhodococcus rhodochrous J3"	"DOE Joint Genome Institute (JGI)"	2527291702	"Rhodococcus rhodochrous"	903528	0	1001120	"J3"	""	""	NA	6106854	5645	NA	"Actinobacteria"	"Actinobacteria"	"Actinomycetales"	"Nocardiaceae"	"Rhodococcus"
2528311045	"Bacteria"	"Permanent Draft"	"Genome sequencing of the marine actinomycete Salinispora pacifica"	"Streptomyces sp. CNQ329"	"DOE Joint Genome Institute (JGI)"	2528311045	"Streptomyces sp."	1298879	0	1016013	"CNQ329"	""	""	NA	7185226	6241	NA	"Actinobacteria"	"Actinobacteria"	"Actinomycetales"	"Streptomycetaceae"	"Streptomyces"
2528311129	"Bacteria"	"Permanent Draft"	"Genome sequencing of the marine actinomycete Salinispora pacifica"	"Nocardia sp. CNY236"	"DOE Joint Genome Institute (JGI)"	2528311129	"Nocardia sp. CNY236"	1169152	0	1007258	"CNY236"	""	""	NA	5304668	5041	NA	"Actinobacteria"	"Actinobacteria"	"Actinomycetales"	"Nocardiaceae"	"Nocardia"
2529292502	"Bacteria"	"Permanent Draft"	"Genomic basis of thermal adaption and carbon metabolism in permafrost isolates"	"Rhodococcus sp. JG-3"	"DOE Joint Genome Institute (JGI)"	2529292502	"Rhodococcus sp. JG-3"	1305835	0	1015718	"JG-3"	"Environmental"	"Terrestrial"	NA	5286918	5067	NA	"Actinobacteria"	"Actinobacteria"	"Corynebacteriales"	"Nocardiaceae"	"Rhodococcus"
2529292557	"Bacteria"	"Draft"	"Genomic Encyclopedia of Type Strains, Phase I: the one thousand microbial genomes (KMG-I) project"	"Corynebacterium glucuronolyticum DSM 44120"	"DOE Joint Genome Institute (JGI)"	2529292557	"Corynebacterium glucuronolyticum"	1121361	0	405878	"DSM 44120"	"Host-associated"	"Human"	NA	2821142	2663	NA	"Actinobacteria"	"Actinobacteria"	"Actinomycetales"	"Corynebacteriaceae"	"Corynebacterium"
2529292687	"Bacteria"	"Finished"	"Corynebacterium urealyticum DSM 7111"	"Corynebacterium urealyticum DSM 7111"	"Bielefeld University"	2529292687	"Corynebacterium urealyticum"	1267754	0	0	"DSM 7111"	"Host-associated"	"Animal"	NA	2316065	2007	NA	"Actinobacteria"	"Actinobacteria"	"Actinomycetales"	"Corynebacteriaceae"	"Corynebacterium"
2529292926	"Bacteria"	"Permanent Draft"	"Streptomyces tsukubaensis NRRL 18488"	"Streptomyces tsukubaensis NRRL 18488"	"University of Leon"	2529292926	"Streptomyces tsukubaensis"	1114943	0	0	"NRRL 18488"	"Environmental"	"Terrestrial"	NA	7672104	6764	NA	"Actinobacteria"	"Actinobacteria"	"Streptomycetales"	"Streptomycetaceae"	"Streptomyces"
2529293190	"Bacteria"	"Permanent Draft"	"Mycobacterium abscessus bolletii BD"	"Mycobacterium abscessus bolletii BD"	"Chungnam National University"	2529293190	"Mycobacterium abscessus"	1091046	0	0	"BD"	""	""	NA	5048007	4973	NA	"Actinobacteria"	"Actinobacteria"	"Actinomycetales"	"Mycobacteriaceae"	"Mycobacterium"
2529293282	"Bacteria"	"Permanent Draft"	"Rhodococcus ruber BKS 20-38"	"Rhodococcus ruber BKS 20-38"	"Institute of Microbial Technology (IMTECH), Council of Scientific and Industrial Research (CSIR)"	2529293282	"Rhodococcus ruber"	1278076	0	0	"BKS 20-38"	"Environmental"	"Terrestrial"	NA	6126900	5606	NA	"Actinobacteria"	"Actinobacteria"	"Actinomycetales"	"Nocardiaceae"	"Rhodococcus"
2531839069	"Bacteria"	"Permanent Draft"	"Mycobacterium massiliense strains from widely separated outbreaks - Institute for Genome Sciences"	"Mycobacterium massiliense 2B-1231"	"University of Maryland School of Medicine"	2531839069	"Mycobacterium massiliense"	1001709	0	0	"2B-1231"	"Host-associated"	"Animal"	NA	4811264	4867	NA	"Actinobacteria"	"Actinobacteria"	"Actinomycetales"	"Mycobacteriaceae"	"Mycobacterium"
2531839070	"Bacteria"	"Permanent Draft"	"Mycobacterium massiliense strains from widely separated outbreaks - Institute for Genome Sciences"	"Mycobacterium abscessus bolletii Timone LB"	"University of Maryland School of Medicine"	2531839070	"Mycobacterium abscessus"	1001714	0	0	"Timone LB"	""	""	NA	5195205	5243	NA	"Actinobacteria"	"Actinobacteria"	"Corynebacteriales"	"Mycobacteriaceae"	"Mycobacterium"
2531839181	"Bacteria"	"Permanent Draft"	"Streptomyces zinciresistens K42"	"Streptomyces zinciresistens K42"	"Northwest A and F University"	2531839181	"Streptomyces zinciresistens"	700597	0	0	"K42"	"Environmental"	"Terrestrial"	NA	8221694	7653	NA	"Actinobacteria"	"Actinobacteria"	"Actinomycetales"	"Streptomycetaceae"	"Streptomyces"
2531839202	"Bacteria"	"Permanent Draft"	"Mycobacterium abscessus Genome sequencing, Institute for Genome Sciences"	"Mycobacterium abscessus 3A-0122-R"	"University of Maryland School of Medicine"	2531839202	"Mycobacterium abscessus"	1001715	0	0	"3A-0122-R"	"Host-associated"	"Animal"	NA	5231383	5402	NA	"Actinobacteria"	"Actinobacteria"	"Actinomycetales"	"Mycobacteriaceae"	"Mycobacterium"
2531839203	"Bacteria"	"Permanent Draft"	"Mycobacterium abscessus Genome sequencing, Institute for Genome Sciences"	"Mycobacterium abscessus 3A-0810-R"	"University of Maryland School of Medicine"	2531839203	"Mycobacterium abscessus"	1001717	0	0	"3A-0810-R"	"Host-associated"	"Animal"	NA	5287644	5481	NA	"Actinobacteria"	"Actinobacteria"	"Actinomycetales"	"Mycobacteriaceae"	"Mycobacterium"
2531839247	"Bacteria"	"Permanent Draft"	"Mycobacterium sp. H4Y"	"Mycobacterium sp. H4Y"	"Seoul National University"	2531839247	"Mycobacterium sp. H4Y"	1168288	0	0	"H4Y"	"Host-associated"	"Animal"	NA	5443025	5070	NA	"Actinobacteria"	"Actinobacteria"	"Actinomycetales"	"Mycobacteriaceae"	"Mycobacterium"
2531839264	"Bacteria"	"Permanent Draft"	"Rhodococcus sp. JVH1"	"Rhodococcus sp. JVH1"	"Genome Quebec, McGill University"	2531839264	"Rhodococcus sp. JVH1"	745408	0	0	"JVH1"	"Environmental"	"Aquatic"	NA	9181077	9192	NA	"Actinobacteria"	"Actinobacteria"	"Actinomycetales"	"Nocardiaceae"	"Rhodococcus"
2531839299	"Bacteria"	"Permanent Draft"	"Corynebacterium glutamicum ATCC 14067"	"Corynebacterium glutamicum ATCC 14067"	"Beijing Genomics Institute (BGI)"	2531839299	"Corynebacterium glutamicum"	1079988	0	0	"ATCC 14067"	""	""	NA	3226741	3139	NA	"Actinobacteria"	"Actinobacteria"	"Actinomycetales"	"Corynebacteriaceae"	"Corynebacterium"
2531839309	"Bacteria"	"Permanent Draft"	"Arthrobacter sp. SJCon"	"Arthrobacter sp. SJCon"	"Institute of Microbial Technology (IMTECH), Council of Scientific and Industrial Research (CSIR)"	2531839309	"Arthrobacter sp. SJCon"	683150	0	0	"SJCon"	"Environmental"	"Terrestrial"	NA	4389620	3686	NA	"Actinobacteria"	"Actinobacteria"	"Actinomycetales"	"Micrococcaceae"	"Arthrobacter"
2531839488	"Bacteria"	"Permanent Draft"	"Mycobacterium hassiacum DSM 44199"	"Mycobacterium hassiacum DSM 44199"	"University of Coimbra"	2531839488	"Mycobacterium hassiacum"	1122247	0	0	"DSM 44199"	"Host-associated"	"Human"	NA	5000164	5011	NA	"Actinobacteria"	"Actinobacteria"	"Actinomycetales"	"Mycobacteriaceae"	"Mycobacterium"
2531839509	"Bacteria"	"Permanent Draft"	"Streptomyces viridochromogenes Tue57"	"Streptomyces viridochromogenes Tue57"	"University of Freiburg"	2531839509	"Streptomyces viridochromogenes"	1160705	0	0	"Tue57"	""	""	NA	9687428	8834	NA	"Actinobacteria"	"Actinobacteria"	"Actinomycetales"	"Streptomycetaceae"	"Streptomyces"
2531839679	"Bacteria"	"Permanent Draft"	"Corynebacterium diphtheriae bv. intermedius NCTC 5011"	"Corynebacterium diphtheriae bv. intermedius NCTC 5011"	"University of Strathclyde"	2531839679	"Corynebacterium diphtheriae"	1166015	0	0	"NCTC 5011"	"Host-associated"	"Human"	NA	2380361	2275	NA	"Actinobacteria"	"Actinobacteria"	"Actinomycetales"	"Corynebacteriaceae"	"Corynebacterium"
2531839744	"Bacteria"	"Draft"	"Genome sequencing of lignin-degrading bacterial isolates"	"Rhodococcus sp. J21"	"DOE Joint Genome Institute (JGI)"	2531839744	"Rhodococcus sp. J21"	1340431	0	1020215	"J21"	""	""	NA	6319940	6012	NA	"Actinobacteria"	"Actinobacteria"	"Actinomycetales"	"Nocardiaceae"	"Rhodococcus"
2534681606	"Bacteria"	"Permanent Draft"	"Corynebacterium glutamicum S9114"	"Corynebacterium glutamicum S9114"	"Beijing Genomics Institute (BGI)"	2534681606	"Corynebacterium glutamicum"	1075088	0	0	"S9114"	"Engineered"	"Lab synthesis"	NA	3262889	3069	NA	"Actinobacteria"	"Actinobacteria"	"Actinomycetales"	"Corynebacteriaceae"	"Corynebacterium"
2534681669	"Bacteria"	"Permanent Draft"	"Mycobacterium avium paratuberculosis S397"	"Mycobacterium avium paratuberculosis S397"	"U.S. Department of Agriculture"	2534681669	"Mycobacterium avium"	1770	0	0	"S397"	"Host-associated"	"Mammals"	NA	4813711	4677	NA	"Actinobacteria"	"Actinobacteria"	"Actinomycetales"	"Mycobacteriaceae"	"Mycobacterium"
2534681942	"Bacteria"	"Permanent Draft"	"Mycobacterium vaccae RIVM"	"Mycobacterium vaccae RIVM"	"King Abdullah University of Science and Technology"	2534681942	"Mycobacterium vaccae"	1194972	0	0	"RIVM"	""	""	NA	6223660	6004	NA	"Actinobacteria"	"Actinobacteria"	"Actinomycetales"	"Mycobacteriaceae"	"Mycobacterium"
2534682015	"Bacteria"	"Permanent Draft"	"Human Microbiome Project (HMP) Reference Genomes"	"Actinomyces neuii BVS029A5"	"Broad Institute"	2534682015	"Actinomyces neuii"	888439	0	0	"BVS029A5"	"Host-associated"	"Human"	NA	2136781	1992	NA	"Actinobacteria"	"Actinobacteria"	"Actinomycetales"	"Actinomycetaceae"	"Actinomyces"
2534682028	"Bacteria"	"Permanent Draft"	"Streptomyces coelicoflavus ZG0656"	"Streptomyces coelicoflavus ZG0656"	"Tianjin University"	2534682028	"Streptomyces coelicoflavus"	1120227	0	0	"ZG0656"	""	""	NA	8478314	8858	NA	"Actinobacteria"	"Actinobacteria"	"Actinomycetales"	"Streptomycetaceae"	"Streptomyces"
2534682146	"Bacteria"	"Permanent Draft"	"Human Microbiome Project (HMP) Reference Genomes"	"Rothia mucilaginosa M508"	"Broad Institute"	2534682146	"Rothia mucilaginosa"	563033	0	0	"M508"	"Host-associated"	"Human"	NA	2310168	1845	NA	"Actinobacteria"	"Actinobacteria"	"Actinomycetales"	"Micrococcaceae"	"Rothia"
2537561552	"Bacteria"	"Permanent Draft"	"Mycobacterium abscessus Genome sequencing, Institute for Genome Sciences"	"Mycobacterium abscessus 5S-0817"	"University of Maryland School of Medicine"	2537561552	"Mycobacterium abscessus"	1001735	0	0	"5S-0817"	"Host-associated"	"Animal"	NA	5248885	5447	NA	"Actinobacteria"	"Actinobacteria"	"Actinomycetales"	"Mycobacteriaceae"	"Mycobacterium"
2537561590	"Bacteria"	"Permanent Draft"	"Rhodococcus wratislaviensis IFP 2016"	"Rhodococcus wratislaviensis IFP 2016"	"Genome Quebec"	2537561590	"Rhodococcus wratislaviensis"	1195242	0	0	"IFP 2016"	""	""	NA	9687645	9589	NA	"Actinobacteria"	"Actinobacteria"	"Actinomycetales"	"Nocardiaceae"	"Rhodococcus"
2537561773	"Bacteria"	"Permanent Draft"	"Human Microbiome Project (HMP) Reference Genomes"	"Atopobium sp. ICM58"	"J. Craig Venter Institute (JCVI)"	2537561773	"Atopobium sp. ICM58"	1105030	0	0	"ICM58"	"Host-associated"	"Human"	NA	2390495	2174	NA	"Actinobacteria"	"Actinobacteria"	"Coriobacteriales"	"Coriobacteriaceae"	"Atopobium"
2537561777	"Bacteria"	"Permanent Draft"	"Human Microbiome Project (HMP) Reference Genomes"	"Actinomyces sp. ICM47"	"J. Craig Venter Institute (JCVI)"	2537561777	"Actinomyces sp. ICM47"	936548	0	0	"ICM47"	"Host-associated"	"Human"	NA	2444105	2132	NA	"Actinobacteria"	"Actinobacteria"	"Actinomycetales"	"Actinomycetaceae"	"Actinomyces"
2537561795	"Bacteria"	"Permanent Draft"	"Streptomyces ipomoeae 91-03"	"Streptomyces ipomoeae 91-03"	"J. Craig Venter Institute (JCVI)"	2537561795	"Streptomyces ipomoeae"	698759	0	0	"91-03"	"Host-associated"	"Plants"	NA	10403856	9603	NA	"Actinobacteria"	"Actinobacteria"	"Actinomycetales"	"Streptomycetaceae"	"Streptomyces"
2537561797	"Bacteria"	"Permanent Draft"	"Human Microbiome Project (HMP) Reference Genomes"	"Turicella otitidis ATCC 51513"	"Broad Institute"	2537561797	"Turicella otitidis"	883169	0	0	"ATCC 51513"	"Host-associated"	"Human"	NA	2090523	1904	NA	"Actinobacteria"	"Actinobacteria"	"Actinomycetales"	"Corynebacteriaceae"	"Turicella"
2537561926	"Bacteria"	"Permanent Draft"	"Arthrobacter gangotriensis Lz1y"	"Arthrobacter gangotriensis Lz1y"	"Centre for Cellular and Molecular Biology (CCMB)"	2537561926	"Arthrobacter gangotriensis"	1276920	0	0	"Lz1y"	"Environmental"	"Terrestrial"	NA	4319900	4081	NA	"Actinobacteria"	"Actinobacteria"	"Actinomycetales"	"Micrococcaceae"	"Arthrobacter"
